conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,přednášející v oborech věd o Zemi,released,přednášející v oboru geodézie | přednášející v oboru hydrologie | přednášející v oboru meteorologie | přednášející v oboru georgrafie | přednášející v oboru kartografie | přednášející v oboru geologie | přednášející v oboru klimatologie,"Přednášející v oborech věd o Zemi jsou profesoři, učitelé nebo přednášející vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve specializovaném studijním oboru vědy o Zemi, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí rovněž akademický výzkum v oboru věd o Zemi, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,inženýr v oboru optoelektroniky/inženýrka v oboru optoelektroniky,released,inženýr v oboru optoelektroniky | inženýrka v oboru optoelektroniky | optoelektronik,"Inženýři v oboru optoelektroniky navrhují a vyvíjejí optoelektronické systémy a přístroje, jako jsou snímače UV, fotodiody a LED. Inženýři v oboru optoelektroniky při navrhování těchto systémů a zařízení uplatňují optické inženýrství i elektroinženýrství. Provádějí výzkum, analýzu a zkoušky zařízení a dohlížejí na výzkum.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,inženýr elektroniky/inženýrka elektroniky
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,výzkumný pracovník v oboru sociální práce/výzkumná pracovnice v oboru sociální práce,released,výzkumná pracovnice v oboru sociální práce | výzkumný pracovník v oboru sociální práce,"Výzkumní pracovníci v sociální oblasti řídí výzkumné projekty se zaměřením na vyšetřování a podávání zpráv o sociálních otázkách. Nejdříve sbírají informace prostřednictvím rozhovorů, anket v cílových skupinách a dotazníků a poté tyto informace třídí a analyzují pomocí softwarových nástrojů. Analyzují sociální problémy a potřeby a různé způsoby a techniky, jak na ně reagovat.",http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sociolog/socioložka
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,přednášející v oboru veterinární lékařství,released,,"Přednášející v oboru veterinární lékařství jsou profesoři, učitelé nebo přednášející a často veterinární lékaři vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve specializovaném studijním oboru veterinární lékařství, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek, vedení laboratorních cvičení a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí rovněž akademický výzkum ve své specializaci veterinární medicína, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,přednášející v oboru stomatologie,released,,"Přednášející v oboru stomatologie jsou profesoři, učitelé nebo přednášející a často lékaři vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve specializovaném studijním oboru stomatologie, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek, vedení laboratorních cvičení a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí rovněž akademický výzkum ve své specializaci stomatologie, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,klimatolog/klimatoložka,released,klimatoložka | klimatolog,"Klimatologové zkoumají průměrné změny počasí a klimatu z dlouhodobého hlediska. Provádějí výzkum a analýzu historických povětrnostních podmínek s cílem předpovídat vývoj klimatických podmínek, jako jsou změny teploty, globální oteplování nebo vyvíjející se regionální povětrnostní podmínky. Tato zjištění používají pro poradenství v oblasti politiky životního prostředí, stavebnictví, zemědělských projektů a společenských otázek.",http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorolog/meteoroložka
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,toxikolog/toxikoložka,released,toxikolog | toxikoložka,"Toxikologové zkoumají účinky, které mají chemické látky nebo biologické a fyzikální činitele v živých organismech, konkrétně na životní prostředí a na zdraví zvířat a lidí. Stanoví dávky expozice látkám, kdy vznikají toxické účinky na životní prostředí, u lidí a živých organismů a provádějí také pokusy na zvířatech a buněčných kulturách.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biolog/bioložka
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,specialista v oblasti behaviorálních věd/specialistka v oblasti behaviorálních věd,released,specialistka v oblasti behaviorálních věd | specialista v oblasti behaviorálních věd | behavioralistka | behavioralista,"Specialisté v oblasti behaviorálních věd sledují, pozorují a popisují chování člověka ve společnosti. Vyvozují z nich závěry ohledně motivů jednání člověka, sledují různé okolnosti pro různé chování a popisují různé osobnosti. Poskytují poradenství organizacím a vládním institucím v této oblasti. Mohou rovněž analyzovat chování zvířat.",http://data.europa.eu/esco/isco/C2632,"Sociologové, antropologové a specialisté v příbuzných oborech"
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,přednášející v oboru žurnalistika,released,,"Přednášející v oboru žurnalistika a sdělovací prostředky jsou profesoři, učitelé nebo přednášející vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve specializovaném studijním oboru žurnalistika a sdělovací prostředky, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí rovněž akademický výzkum v oboru žurnalistika a sdělovací prostředky, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,pedagogický pracovník v oboru komunikačních studií/pedagogická pracovnice v oboru komunikačních studií,released,profesor komunikačních studií | pedagogická pracovnice v oboru komunikačních studií | profesorka komunikačních studií | pedagogický pracovník v oboru komunikačních studií,"Pedagogičtí pracovníci v oboru komunikačních studií jsou profesoři, učitelé nebo přednášející vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve svém specializovaném oboru komunikační studie, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí rovněž akademický výzkum v oboru komunikační studie, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,oceánograf/oceánografka,released,oceánograf | oceánografka,"Oceánografové zkoumají a provádějí výzkum týkající se záležitostí souvisejících s mořem a oceány. Oceánografové se dělí podle své odbornosti na několik skupin: oceánografové se zaměřením na fyzickou oceánografii, jejichž výzkum se zaměřuje na vlny, příliv a odliv, oceánografové se zaměřením na chemickou oceánografii, kteří zkoumají chemické složení mořských vod, a oceánografové se zaměřením na mořskou geologii, jejichž výzkum se soustředí na dno moří a jeho desky.
   ",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geolog/geoložka
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,vyučující v oboru architektura,released,učitel architektury | učitelka architektury | profesorka architektury | docent architektury | docentka architektury | profesor architektury | univerzitní lektorka oboru architektura | univerzitní lektor oboru architektura,"Vyučující v oboru architektura jsou profesoři, učitelé nebo přednášející vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve specializovaném studijním oboru architektura, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí také akademický výzkum v oboru architektura, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,inženýr senzorových technologií/inženýrka senzorových technologií,released,inženýrka senzorových technologií | inženýrka v odvětví snímačů a akčních členů | inženýr senzorových technologií | inženýr v odvětví snímačů a akčních členů,"Inženýři senzorových technologií navrhují a vyvíjejí čidla, snímací systémy a výrobky, které jsou vybaveny čidly. Plánují a sledují výrobu těchto výrobků.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,inženýr elektroniky/inženýrka elektroniky
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,politolog/politoložka,released,politoložka | politolog,"Politologové zkoumají politické chování, činnost a systémy a související témata. Jejich pole zájmu je široké – od vzniku a vývoje různých politických systémů až po aktuální témata, jako jsou rozhodovací procesy, politické chování, politické trendy, společnost a perspektivy výkonu. Radí vládám a institucionálním organizacím v otázkách správy věcí veřejných.",http://data.europa.eu/esco/isco/C2633,"Filozofové, historici a politologové"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,psycholog/psycholožka,released,sportovní psycholožka | sportovní psycholog | psycholožka | psycholog,"Psychologové studují chování a duševní procesy lidí. Poskytují služby klientům, kteří se zabývají otázkami duševního zdraví a životními otázkami, jako je úmrtí, potíže související se vztahy, domácí násilí a sexuální zneužívání. Poskytují rovněž poradenství v otázkách duševního zdraví, jako jsou poruchy příjmu potravy, posttraumatické stresové poruchy a psychóza, s cílem pomoci klientům, aby se rehabilitovali a dosáhli zdravého chování.",http://data.europa.eu/esco/isco/C2634,Psychologové
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,hydrolog/hydroložka,released,hydroložka | hydrolog,"Hydrologové zkoumají kvalitu, současné výzvy a distribuci vody na Zemi a provádí související výzkum. Zkoumají zásobování vodou z řek, potoků a pramenů s cílem určit jejich přiměřené a udržitelné využití. Spolu s interdisciplinárním týmem odborníků plánují a vypracovávají postupy, jak lze distribuovat vodu do měst a městských oblastí, a zároveň zajišťují účinnost a ochranu zdrojů.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geolog/geoložka
Occupation,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,veterinární vědec,released,,"Veterinární vědci vyvíjejí a provádějí výzkum na zvířecích modelech, porovnávají základní biologii zvířat a vědecká zjištění aplikují na různé živočišné druhy, včetně lidí.",http://data.europa.eu/esco/isco/C2250,Veterinární lékaři
Occupation,http://data.europa.eu/esco/occupation/55a785db-0636-41b8-950f-0b65abe5e81b,vyučující v oboru farmacie,released,pedagog v oboru farmacie | učitelka farmacie | učitel farmacie | lektor farmakologie | lektorka farmakologie | pedagožka v oboru farmacie,"Vyučující v oboru farmacie jsou profesoři, učitelé nebo přednášející vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve specializovaném studijním oboru farmacie, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek, vedení laboratorních cvičení a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí rovněž akademický výzkum v oboru farmacie, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/574f3232-1d07-4034-8cac-c57ddbfff192,analytický chemik/analytická chemička,released,analytický chemik | analytická chemička,"Analytičtí chemici plní důležitou roli při posuzování vztahu mezi chemií a životním prostředím, potravinami, palivy a léky.
	",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chemik/chemička
